phase,p,lambda,delta,sigma2,n_runs,horizon,collapses,collapse_probability,wilson95_low,wilson95_high,restricted_mean_tau_Tplus1,conditional_mean_tau,reference_numba_exact,fixed_input_reproducible,fixed_seed_regeneration_reproducible,reference_seconds,numba_seconds,numba_repeat_seconds
pilot,0.02,96.0,2.0,292.0,250,500,104,0.416,0.35662335915134685,0.47791903516388773,308.444,38.125,True,True,True,0.1033397999999579,0.0001519999987067422,9.979999958886765e-05
pilot,0.1,88.0,2.0,988.0000000000002,250,500,177,0.708,0.6488299033041979,0.7608746441056972,172.696,37.293785310734464,True,True,True,0.05857310000101279,0.0001274999995075632,8.689999958733097e-05
pilot,0.2,78.0,2.0,1678.0000000000005,250,500,198,0.792,0.7374559719572936,0.8377061811373668,127.16,28.97979797979798,True,True,True,0.04916950000006182,0.00013140000010025688,0.0001019000010273885
