phase,p,lambda,delta,sigma2,n_runs,horizon,collapses,collapse_probability,wilson95_low,wilson95_high,restricted_mean_tau_Tplus1,conditional_mean_tau,reference_numba_exact,fixed_input_reproducible,fixed_seed_regeneration_reproducible,reference_seconds,numba_seconds,numba_repeat_seconds
confirmation,0.02,96.0,2.0,292.0,500,500,221,0.442,0.3990759531428234,0.4858084703507167,296.638,38.64253393665158,True,True,True,0.2206982000006974,0.0013562999993155245,0.0031398999999510124
confirmation,0.1,88.0,2.0,988.0000000000002,500,500,352,0.704,0.6625546643222885,0.742334604769398,171.068,32.34659090909091,True,True,True,0.11625350000031176,0.00019519999841577373,0.00015170000006037299
confirmation,0.2,78.0,2.0,1678.0000000000005,500,500,409,0.818,0.7817973646706083,0.8493535547958443,113.052,26.7359413202934,True,True,True,0.07692189999943366,0.001261999999769614,0.0007793999993737089
